timestamp_utc,vertical,doc_id,offset,cohesion,tp,fp,fn,tn,na,recall,precision,f1,passes_gates
2026-06-22T16:14:47.3776729+00:00,healthcare,summitcare-compliant,0.00,0,6,0,2,0,0,0.750,1.000,0.857,0
2026-06-22T16:14:48.1640257+00:00,fsi,doc-002-tpra-cloud,0.00,0,3,0,0,2,0,1.000,1.000,1.000,1
2026-06-22T16:14:48.4663680+00:00,gov-architecture,doc-003-fully-compliant,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:14:48.7552787+00:00,oil-gas,doc-002-clean-pipeline-program,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:14:49.3038739+00:00,privacy-gdpr,novacrm-compliant,0.00,0,4,0,2,0,0,0.667,1.000,0.800,0
2026-06-22T16:14:49.5569363+00:00,oil-gas,doc-001-pipeline-ops-manual-with-gaps,0.00,0,1,0,0,3,1,1.000,1.000,1.000,1
2026-06-22T16:14:49.9986414+00:00,privacy-law25,novacrm-compliant,0.00,0,1,0,4,1,0,0.200,1.000,0.333,0
2026-06-22T16:14:50.3973768+00:00,privacy-law25,dataflow-gaps,0.00,0,0,0,0,6,0,1.000,1.000,1.000,1
2026-06-22T16:14:50.8543562+00:00,privacy-gdpr,dataflow-gaps,0.00,0,0,0,0,6,0,1.000,1.000,1.000,1
2026-06-22T16:14:51.4959805+00:00,healthcare,acme-telehealth-gaps,0.00,0,0,0,0,8,0,1.000,1.000,1.000,1
2026-06-22T16:14:52.0287764+00:00,fsi,doc-001-vendor-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:14:52.3475492+00:00,permitting,doc-002-warehouse-clean,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:14:52.7829115+00:00,contract,doc-002-clean-msa,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:14:53.1768593+00:00,gov-architecture,doc-002-iaas-partial-compliance,0.00,0,3,0,0,2,0,1.000,1.000,1.000,1
2026-06-22T16:14:53.4048641+00:00,gov-architecture,doc-001-protb-saas-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:14:53.9743700+00:00,permitting,doc-001-condo-permit-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:14:54.3150370+00:00,contract,doc-001-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:17:21.2473626+00:00,healthcare,summitcare-compliant,0.00,0,6,0,2,0,0,0.750,1.000,0.857,0
